[00:00:23] [Server thread/INFO]: Singularity7k issued server command: /locate
[00:02:50] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #better_pyramid:ancient_city
[00:02:51] [Server thread/INFO]: Locating element #better_pyramid:ancient_city (minecraft:ancient_city) took 1232 ms
[00:02:57] [Server thread/INFO]: Singularity7k issued server command: /tp @s 2048 ~ -1728
[00:02:58] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -117], discarding
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.DensityFunctions$TransformerWithContext.fillArray(DensityFunctions.java:1168)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.NoiseChunk$NoiseInterpolator.fillArray(NoiseChunk.java:770)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.NoiseChunk.fillSlice(NoiseChunk.java:232)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.NoiseChunk.initializeForFirstCellX(NoiseChunk.java:245)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.iterateNoiseColumn(NoiseBasedChunkGenerator.java:187)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.getBaseHeight(NoiseBasedChunkGenerator.java:110)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.ChunkGenerator.getFirstFreeHeight(ChunkGenerator.java:697)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.structure.pools.JigsawPlacement.addPieces(JigsawPlacement.java:113)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.structure.structures.JigsawStructure.findGenerationPoint(JigsawStructure.java:142)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.structure.Structure.findValidGenerationPoint(Structure.java:209)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.structure.StructureCheck.canCreateStructure(StructureCheck.java:120)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.structure.StructureCheck.lambda$checkStart$1(StructureCheck.java:112)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.structure.StructureCheck$$Lambda/0x000077d47e492618.get(Unknown Source)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		ca.spottedleaf.moonrise.common.map.SynchronisedLong2BooleanMap.getOrCompute(SynchronisedLong2BooleanMap.java:35)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.levelgen.structure.StructureCheck.checkStart(StructureCheck.java:112)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.StructureManager.checkStructurePresence(StructureManager.java:186)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.ChunkGenerator.getStructureGeneratingAt(ChunkGenerator.java:311)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.ChunkGenerator.getNearestGeneratedStructure(ChunkGenerator.java:288)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.world.level.chunk.ChunkGenerator.findNearestMapStructure(ChunkGenerator.java:193)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.commands.LocateCommand.locateStructure(LocateCommand.java:109)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.commands.LocateCommand.lambda$register$4(LocateCommand.java:65)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.commands.LocateCommand$$Lambda/0x000077d47cde4680.run(Unknown Source)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		com.mojang.brigadier.context.ContextChain.runExecutable(ContextChain.java:73)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.tasks.ExecuteCommand.execute(ExecuteCommand.java:30)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.tasks.ExecuteCommand.execute(ExecuteCommand.java:13)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.UnboundEntryAction.lambda$bind$0(UnboundEntryAction.java:8)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.UnboundEntryAction$$Lambda/0x000077d47e0dd390.execute(Unknown Source)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.CommandQueueEntry.execute(CommandQueueEntry.java:5)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.execution.ExecutionContext.runCommandQueue(ExecutionContext.java:105)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.Commands.executeCommandInContext(Commands.java:451)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.Commands.performCommand(Commands.java:357)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.commands.Commands.performCommand(Commands.java:345)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.network.ServerGamePacketListenerImpl.performUnsignedChatCommand(ServerGamePacketListenerImpl.java:2313)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.network.ServerGamePacketListenerImpl.lambda$handleChatCommand$12(ServerGamePacketListenerImpl.java:2286)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.network.ServerGamePacketListenerImpl$$Lambda/0x000077d47e487b40.run(Unknown Source)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.TickTask.run(TickTask.java:18)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.util.thread.BlockableEventLoop.doRunTask(BlockableEventLoop.java:155)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.util.thread.ReentrantBlockableEventLoop.doRunTask(ReentrantBlockableEventLoop.java:24)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.doRunTask(MinecraftServer.java:1449)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.doRunTask(MinecraftServer.java:176)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.util.thread.BlockableEventLoop.pollTask(BlockableEventLoop.java:129)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.pollTaskInternal(MinecraftServer.java:1429)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.pollTask(MinecraftServer.java:1423)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.util.thread.BlockableEventLoop.managedBlock(BlockableEventLoop.java:139)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.managedBlock(MinecraftServer.java:1380)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.waitUntilNextTick(MinecraftServer.java:1388)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.runServer(MinecraftServer.java:1265)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer.lambda$spin$2(MinecraftServer.java:310)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		net.minecraft.server.MinecraftServer$$Lambda/0x000077d47cf0a420.run(Unknown Source)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/java.lang.Thread.runWith(Thread.java:1596)
[02:14:42] [Paper Watchdog Thread/ERROR]: 		java.base@21.0.8/java.lang.Thread.run(Thread.java:1583)
[02:14:42] [Paper Watchdog Thread/ERROR]: ------------------------------
[02:14:42] [Paper Watchdog Thread/ERROR]: --- DO NOT REPORT THIS TO PAPER - THIS IS NOT A BUG OR A CRASH ---
[02:14:42] [Paper Watchdog Thread/ERROR]: ------------------------------
[02:14:44] [Server thread/INFO]: Locating element qrafty:farmer_fort took 22800 ms
[02:14:44] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 22783ms or 455 ticks behind
[02:14:48] [Server thread/INFO]: Singularity7k issued server command: /tp @s 13936 ~ -8608
[02:15:17] [Server thread/INFO]: [Not Secure] [Server] sexo
[02:15:59] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:16:11] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:forgotten_mine
[02:16:18] [Server thread/INFO]: Locating element qrafty:forgotten_mine took 7042 ms
[02:16:18] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 7029ms or 140 ticks behind
[02:16:21] [Server thread/INFO]: Singularity7k issued server command: /tp @s 14912 ~ -2560
[02:17:10] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-327, y=59, z=-34}
[02:17:11] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-326, y=59, z=-34}
[02:17:11] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-33}
[02:17:11] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-32}
[02:17:36] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-327, y=59, z=-34}
[02:17:36] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-326, y=59, z=-34}
[02:17:36] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-33}
[02:17:36] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-32}
[02:17:38] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:17:55] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:graveyard
[02:17:55] [Server thread/INFO]: Locating element qrafty:graveyard took 99 ms
[02:17:58] [Server thread/INFO]: Singularity7k issued server command: /tp @s 1952 ~ -2336
[02:18:00] [Paper Common Worker #0/WARN]: Empty or non-existent pool: minecraft:swamp/felixcolour/entity/golem
[02:18:00] [Paper Common Worker #0/WARN]: Empty or non-existent pool: minecraft:swamp/felixcolour/entity/cats
[02:18:00] [Paper Common Worker #0/WARN]: Empty or non-existent pool: minecraft:swamp/felixcolour/entity/cats
[02:18:00] [Paper Common Worker #0/WARN]: Empty or non-existent pool: minecraft:swamp/felixcolour/entity/cats
[02:18:00] [Paper Common Worker #0/WARN]: Empty or non-existent pool: minecraft:swamp/felixcolour/entity/golem
[02:18:00] [Paper Common Worker #0/WARN]: Empty or non-existent pool: minecraft:swamp/felixcolour/entity/cats
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -130], discarding
[02:18:04] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -130], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -130], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -129], discarding
[02:18:09] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -129], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -128], discarding
[02:18:15] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -128], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [122, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -127], discarding
[02:18:20] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -127], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [121, -126], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [120, -126], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [119, -126], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [118, -126], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [117, -126], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [116, -126], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [115, -126], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [114, -126], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [113, -126], discarding
[02:18:25] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [112, -126], discarding
[02:18:30] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-327, y=59, z=-34}
[02:18:30] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-326, y=59, z=-34}
[02:18:30] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-33}
[02:18:30] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-32}
[02:18:54] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-327, y=59, z=-34}
[02:18:54] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-326, y=59, z=-34}
[02:18:54] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-33}
[02:18:54] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-32}
[02:19:06] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:19:17] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:hobbit_hole
[02:19:18] [Server thread/INFO]: Locating element qrafty:hobbit_hole took 293 ms
[02:19:19] [Server thread/INFO]: Singularity7k issued server command: /tp @s -1184 ~ -464
[02:19:57] [Server thread/INFO]: Singularity7k issued server command: /tp @s -1184 ~ -464
[02:19:58] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-277, y=58, z=-61}
[02:19:58] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-281, y=58, z=-61}
[02:20:16] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-327, y=59, z=-34}
[02:20:16] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-326, y=59, z=-34}
[02:20:16] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-33}
[02:20:16] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-32}
[02:20:24] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:20:27] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-327, y=59, z=-34}
[02:20:27] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-326, y=59, z=-34}
[02:20:27] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-33}
[02:20:27] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-32}
[02:20:28] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-327, y=59, z=-34}
[02:20:28] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-326, y=59, z=-34}
[02:20:28] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-33}
[02:20:28] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-32}
[02:20:35] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:igloo_village
[02:20:35] [Server thread/INFO]: Locating element qrafty:igloo_village took 26 ms
[02:20:37] [Server thread/INFO]: Singularity7k issued server command: /tp @s 896 ~ -1952
[02:20:50] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:21:04] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:jungle_parrot_cage
[02:21:06] [Server thread/INFO]: Locating element qrafty:jungle_parrot_cage took 1648 ms
[02:21:08] [Server thread/INFO]: Singularity7k issued server command: /tp @s 4992 ~ -4224
[02:22:21] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:22:26] [Paper Common Worker #0/WARN]: Empty or non-existent pool: structory:harvest/well_bottoms
[02:22:30] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:jungle_treevillage
[02:22:33] [Server thread/INFO]: Locating element qrafty:jungle_treevillage took 3394 ms
[02:22:33] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3362ms or 67 ticks behind
[02:22:49] [Server thread/INFO]: Singularity7k issued server command: /tp @s -704 ~ 3648
[02:23:54] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:24:09] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:mangrove_village
[02:24:12] [Server thread/INFO]: Locating element qrafty:mangrove_village took 2940 ms
[02:24:12] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2916ms or 58 ticks behind
[02:24:41] [Server thread/INFO]: Singularity7k issued server command: /tp @s 3888 ~ 2160
[02:25:40] [Paper Common Worker #0/WARN]: [net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate] Serialization errors:
: Failed to decode value '[{base:16.0d,id:"minecraft:follow_range",modifiers:[{amount:-0.01868097704986529d,id:"minecraft:random_spawn_bonus",operation:"add_multiplied_base"}]},{base:0.0d,id:"porting_lib:step_height_addition"},{base:0.30000001192092896d,id:"minecraft:movement_speed"},{base:0.08d,id:"porting_lib:entity_gravity"}]' from field 'attributes': Unknown registry key in ResourceKey[minecraft:root / minecraft:attribute]: porting_lib:entity_gravity; Unknown registry key in ResourceKey[minecraft:root / minecraft:attribute]: porting_lib:step_height_addition
[02:25:40] [Paper Common Worker #0/WARN]: [net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate] Serialization errors:
: Failed to decode value '[{base:16.0d,id:"minecraft:follow_range",modifiers:[{amount:0.0819685318073202d,id:"minecraft:random_spawn_bonus",operation:"add_multiplied_base"}]},{base:0.0d,id:"porting_lib:step_height_addition"},{base:0.25d,id:"minecraft:movement_speed"},{base:0.08d,id:"porting_lib:entity_gravity"}]' from field 'attributes': Unknown registry key in ResourceKey[minecraft:root / minecraft:attribute]: porting_lib:entity_gravity; Unknown registry key in ResourceKey[minecraft:root / minecraft:attribute]: porting_lib:step_height_addition
[02:26:37] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:27:02] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:oasis
[02:27:04] [Server thread/INFO]: Locating element qrafty:oasis took 1765 ms
[02:27:06] [Server thread/INFO]: Singularity7k issued server command: /tp @s 3552 ~ -5792
[02:27:57] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-326, y=59, z=-34}
[02:27:57] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-33}
[02:27:57] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-325, y=59, z=-32}
[02:27:58] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-327, y=59, z=-34}
[02:27:58] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-326, y=59, z=-34}
[02:28:01] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-327, y=59, z=-34}
[02:28:05] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:28:24] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:mushroom_village
[02:28:33] [Server thread/INFO]: Locating element qrafty:mushroom_village took 8949 ms
[02:28:33] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 8917ms or 178 ticks behind
[02:28:58] [Server thread/INFO]: Singularity7k issued server command: /tp @s -5472 ~ -7840
[02:29:02] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-242, y=56, z=88}
[02:29:02] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-240, y=57, z=84}
[02:29:08] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-242, y=56, z=88}
[02:29:08] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-240, y=57, z=84}
[02:30:40] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[02:30:49] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[02:30:56] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:31:10] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:overworld_leak
[02:31:39] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:transilvania
[02:31:39] [Server thread/INFO]: Locating element qrafty:transilvania took 544 ms
[02:31:42] [Server thread/INFO]: Singularity7k issued server command: /tp @s 3632 ~ -1568
[02:31:53] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-204, y=57, z=-81}
[02:31:53] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-205, y=57, z=-81}
[02:31:53] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-206, y=57, z=-81}
[02:31:53] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-207, y=57, z=-81}
[02:31:53] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-208, y=57, z=-81}
[02:33:54] [Server thread/INFO]: Singularity7k issued server command: /tp @s 3632 ~ -1568
[02:34:39] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
